"age","workclass","fnlwgt","education","educationnum","maritalstatus","occupation","relationship","race","sex","capitalgain","capitaloss","hrsperweek","nativecountry","class"
28," Private",290429," 7th-8th",4," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
24," State-gov",208826," Doctorate",16," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,99," England"," <=50K"
39," Self-emp-not-inc",289430," 5th-6th",3," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,50," Mexico"," <=50K"
26," Private",18827," Some-college",10," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
42," Private",234633," 11th",7," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,47," United-States"," <=50K"
28," State-gov",130620," 11th",7," Separated"," Adm-clerical"," Unmarried"," Asian-Pac-Islander"," Female",0,0,40," India"," <=50K"
22," Local-gov",237811," Assoc-acdm",12," Never-married"," Adm-clerical"," Own-child"," Black"," Female",0,0,35," Haiti"," <=50K"
23," Private",322674," Some-college",10," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
32," Private",334744," HS-grad",9," Never-married"," Tech-support"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
39," Private",211154," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
62," Private",394645," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
56," Self-emp-not-inc",183580," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,30,NA," <=50K"
75," Self-emp-inc",125197," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,26," United-States"," <=50K"
23," Private",141264," Some-college",10," Never-married"," Exec-managerial"," Other-relative"," Black"," Female",0,0,40," United-States"," <=50K"
36," Private",305935," HS-grad",9," Divorced"," Other-service"," Unmarried"," Black"," Male",0,0,40," United-States"," <=50K"
67," Self-emp-not-inc",364862," HS-grad",9," Widowed"," Other-service"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
34," Private",188900," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
27,NA,60726," Bachelors",13," Never-married",NA," Not-in-family"," Black"," Male",0,0,45," United-States"," <=50K"
18," Private",23940," Some-college",10," Never-married"," Other-service"," Not-in-family"," Amer-Indian-Eskimo"," Male",0,0,40," United-States"," <=50K"
31," Private",329874," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
38," Private",197113," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",0,0,20," United-States"," <=50K"
31," Private",112115," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
42," Private",138872," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,99," United-States"," <=50K"
49," Private",403112," HS-grad",9," Divorced"," Other-service"," Unmarried"," Black"," Female",0,0,32," United-States"," <=50K"
49," Private",367037," Assoc-acdm",12," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",4650,0,40," United-States"," <=50K"
50," Private",89534," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
50," Private",254148," 5th-6th",3," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
58," Private",197642," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,39," United-States"," <=50K"
68," Private",204680," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,37," United-States"," <=50K"
36," Private",256636," HS-grad",9," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
51," Private",379797," 10th",6," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
66," Self-emp-not-inc",174788," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
23," Private",103064," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
27," Private",327766," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
25," Private",153841," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
31," Private",48456," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
55," Private",92847," 7th-8th",4," Widowed"," Priv-house-serv"," Unmarried"," White"," Female",0,0,30," United-States"," <=50K"
35," Private",104545," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,20," United-States"," <=50K"
24," Private",395297," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",0,0,35," United-States"," <=50K"
45," State-gov",110311," Masters",14," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
64," Self-emp-not-inc",73986," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,20," United-States"," <=50K"
24," Private",214014," HS-grad",9," Never-married"," Craft-repair"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"
25," Private",209227," Bachelors",13," Never-married"," Prof-specialty"," Own-child"," White"," Female",0,0,21," United-States"," <=50K"
20," Private",438321," HS-grad",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
46," Federal-gov",269890," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
34," Private",101709," HS-grad",9," Separated"," Transport-moving"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
27," Private",298871," Bachelors",13," Never-married"," Other-service"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,40," Philippines"," <=50K"
33," Private",403552," HS-grad",9," Never-married"," Other-service"," Not-in-family"," Black"," Male",0,0,32," United-States"," <=50K"
29," Private",129528," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
20," Private",107801," Assoc-acdm",12," Never-married"," Other-service"," Own-child"," White"," Female",0,2205,18," United-States"," <=50K"
66," Self-emp-not-inc",219220," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",2290,0,40," Germany"," <=50K"
45," Private",125194," 11th",7," Never-married"," Machine-op-inspct"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"
69," Self-emp-not-inc",199829," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1258,40," United-States"," <=50K"
19," Private",264527," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"
30," Private",83066," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",0,0,30," United-States"," <=50K"
22,NA,379883," Some-college",10," Never-married",NA," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
25," Private",242136," HS-grad",9," Divorced"," Machine-op-inspct"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
21,NA,34443," Some-college",10," Never-married",NA," Own-child"," White"," Male",0,0,50," United-States"," <=50K"
73," Self-emp-not-inc",177387," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
20," Self-emp-inc",154782," HS-grad",9," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
29," State-gov",201556," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
19,NA,93604," HS-grad",9," Never-married",NA," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
55," Private",199763," HS-grad",9," Separated"," Protective-serv"," Not-in-family"," White"," Male",0,0,81," United-States"," <=50K"
35," Private",232036," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
18,NA,128538," HS-grad",9," Never-married",NA," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
55," Private",51008," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
18," Private",103339," 10th",6," Never-married"," Sales"," Own-child"," White"," Female",0,1719,16," United-States"," <=50K"
28," Private",209934," Some-college",10," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,40," Mexico"," <=50K"
46," Private",285570," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
28," Private",141957," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
32," Private",191777," Masters",14," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"
54," Private",213092," HS-grad",9," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
52," Private",245275," 10th",6," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,35," United-States"," <=50K"
26," Private",322585," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
55," Self-emp-not-inc",189933," 7th-8th",4," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
34," Private",209900," Some-college",10," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,15," United-States"," <=50K"
30," Private",171889," Prof-school",15," Never-married"," Tech-support"," Own-child"," White"," Female",0,0,24," United-States"," <=50K"
64," Private",265786," 5th-6th",3," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
34," Private",124569," Some-college",10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
28," Private",51461," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
36," Self-emp-inc",83748," Some-college",10," Married-civ-spouse"," Exec-managerial"," Other-relative"," Asian-Pac-Islander"," Female",0,0,70," South"," <=50K"
56," Private",204745," Some-college",10," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",3325,0,45," United-States"," <=50K"
39," State-gov",114366," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"
49," Private",291783," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
37," Private",238433," 1st-4th",2," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," Cuba"," <=50K"
32," Private",117028," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
48," Self-emp-not-inc",185385," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,98," United-States"," <=50K"
21," Self-emp-not-inc",190968," HS-grad",9," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"
47," Private",95680," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
52," Private",103995," HS-grad",9," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
34," Federal-gov",284703," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",0,0,52," United-States"," <=50K"
42," Self-emp-not-inc",133584," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," El-Salvador"," <=50K"
42," Local-gov",351161," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
21," Private",213015," HS-grad",9," Never-married"," Handlers-cleaners"," Other-relative"," Black"," Male",2176,0,40," United-States"," <=50K"
30," Private",115963," 7th-8th",4," Never-married"," Machine-op-inspct"," Unmarried"," White"," Male",0,0,42," United-States"," <=50K"
24," Private",241582," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,33," United-States"," <=50K"
56," Private",155657," 7th-8th",4," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,20," Yugoslavia"," <=50K"
28," Private",277746," 10th",6," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
27," Private",367329," Assoc-voc",11," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
27," Private",91189," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
34," Private",229731," HS-grad",9," Married-spouse-absent"," Other-service"," Not-in-family"," White"," Female",0,0,35," El-Salvador"," <=50K"
24," Private",148315," HS-grad",9," Never-married"," Handlers-cleaners"," Unmarried"," White"," Male",0,0,45," United-States"," <=50K"
34,NA,310525," HS-grad",9," Married-civ-spouse",NA," Husband"," Black"," Male",0,0,10," United-States"," <=50K"
38," Self-emp-not-inc",133299," Assoc-acdm",12," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
53," Private",95864," HS-grad",9," Never-married"," Adm-clerical"," Other-relative"," White"," Male",0,0,35," United-States"," <=50K"
42," Private",341638," 11th",7," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
41," Local-gov",132125," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
46," Self-emp-inc",283004," Assoc-voc",11," Divorced"," Exec-managerial"," Unmarried"," Asian-Pac-Islander"," Female",0,0,63," Thailand"," <=50K"
21," Private",129137," HS-grad",9," Never-married"," Other-service"," Other-relative"," White"," Female",1055,0,35," United-States"," <=50K"
42," Private",134509," Some-college",10," Never-married"," Transport-moving"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
25," Local-gov",169905," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
20," Private",182615," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
24," Self-emp-not-inc",267396," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
38," Private",224584," Some-college",10," Divorced"," Sales"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
42," Local-gov",228320," 7th-8th",4," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
20," Private",374116," 11th",7," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
29," Private",154017," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,10," United-States"," <=50K"
22," Private",267945," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",0,0,16," United-States"," <=50K"
19," State-gov",378418," HS-grad",9," Never-married"," Tech-support"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
41," Private",202508," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,48," United-States"," <=50K"
21," Private",136975," HS-grad",9," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
18," Private",338717," 11th",7," Never-married"," Handlers-cleaners"," Not-in-family"," Other"," Male",0,0,25," United-States"," <=50K"
18," Private",231562," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Female",0,0,33," United-States"," <=50K"
52," Private",113094," Bachelors",13," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,1092,40," United-States"," <=50K"
33," Private",403468," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",0,0,40," Mexico"," <=50K"
48," Self-emp-inc",138370," Masters",14," Married-spouse-absent"," Sales"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,50," India"," <=50K"
28," Private",110408," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
59," State-gov",173422," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",5013,0,38," United-States"," <=50K"
25," Private",273792," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,37," United-States"," <=50K"
41," Local-gov",160785," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
29," Private",355569," Assoc-voc",11," Never-married"," Exec-managerial"," Unmarried"," White"," Female",0,0,50," United-States"," <=50K"
41," Private",23646," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
26," Private",164170," Some-college",10," Never-married"," Sales"," Other-relative"," Asian-Pac-Islander"," Female",0,0,35," Philippines"," <=50K"
32," Private",112137," Preschool",1," Married-civ-spouse"," Machine-op-inspct"," Wife"," Asian-Pac-Islander"," Female",4508,0,40," Cambodia"," <=50K"
60," Private",230545," 7th-8th",4," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," Cuba"," <=50K"
20," Private",224217," HS-grad",9," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
41," Self-emp-not-inc",251305," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
34," Private",302570," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",0,0,36," United-States"," <=50K"
34," Self-emp-not-inc",198068," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
25," Private",114483," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
32," Private",198068," 11th",7," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
22," Private",314525," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
22," Private",87569," Assoc-voc",11," Never-married"," Other-service"," Not-in-family"," White"," Female",0,1762,40," United-States"," <=50K"
38," Self-emp-not-inc",200153," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
19," Private",369164," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
46," Private",201595," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,70," United-States"," <=50K"
24," Private",236907," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,55," United-States"," <=50K"
36," Private",183739," HS-grad",9," Married-civ-spouse"," Craft-repair"," Own-child"," White"," Female",0,2002,40," United-States"," <=50K"
37,NA,145064," Assoc-acdm",12," Married-civ-spouse",NA," Husband"," White"," Male",0,0,32," United-States"," <=50K"
36," Private",201117," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
22,NA,140001," HS-grad",9," Never-married",NA," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
57," Private",109638," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1672,45," United-States"," <=50K"
36," Private",108320," HS-grad",9," Divorced"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
37," Private",22245," Some-college",10," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,40," Outlying-US(Guam-USVI-etc)"," <=50K"
32," Private",231263," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
36," Private",398575," Some-college",10," Never-married"," Tech-support"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
40," Self-emp-not-inc",95226," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
30," Private",143540," 9th",5," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
18,NA,379768," HS-grad",9," Never-married",NA," Own-child"," Other"," Female",0,0,40," United-States"," <=50K"
77," Private",344425," 9th",5," Married-civ-spouse"," Priv-house-serv"," Wife"," Black"," Female",0,0,10," United-States"," <=50K"
19," Private",389143," Some-college",10," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
23," Private",308498," 10th",6," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,18," United-States"," <=50K"
36," Private",186531," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
58," Self-emp-not-inc",54566," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
31," State-gov",358461," Some-college",10," Never-married"," Other-service"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
50," Private",138022," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
30," Private",33678," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
49," Private",101320," Masters",14," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,75," United-States"," <=50K"
19," Private",153019," HS-grad",9," Never-married"," Exec-managerial"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
37," Private",123104," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
45,NA,177775," Assoc-voc",11," Never-married",NA," Other-relative"," White"," Female",0,0,32," United-States"," <=50K"
23," Private",34431," HS-grad",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
30," Private",69235," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Taiwan"," <=50K"
67,NA,74335," HS-grad",9," Widowed",NA," Not-in-family"," White"," Female",0,0,10," Germany"," <=50K"
39," Private",147258," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
23," Private",318483," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
31," Private",91666," HS-grad",9," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
60,NA,134152," 9th",5," Divorced",NA," Not-in-family"," Black"," Male",0,0,35," United-States"," <=50K"
46," Private",191357," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
32," Private",168443," Masters",14," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
28," Private",162551," 7th-8th",4," Married-civ-spouse"," Machine-op-inspct"," Other-relative"," Asian-Pac-Islander"," Female",0,0,48," China"," <=50K"
33," Private",216145," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
68," Self-emp-not-inc",198554," Some-college",10," Divorced"," Transport-moving"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
31," Private",179415," 5th-6th",3," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
40," State-gov",287008," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
37," Self-emp-not-inc",326400," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,30," United-States"," <=50K"
36," Self-emp-not-inc",160120," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," Other"," Male",0,0,45,NA," <=50K"
43," Private",245317," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
46,NA,148489," HS-grad",9," Married-spouse-absent",NA," Not-in-family"," Asian-Pac-Islander"," Male",0,0,40," Philippines"," <=50K"
29," Private",112403," Some-college",10," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"
40," Self-emp-not-inc",129298," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
18,NA,151404," 11th",7," Never-married",NA," Own-child"," White"," Female",0,0,15," United-States"," <=50K"
45," Self-emp-not-inc",305474," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," Haiti"," <=50K"
23,NA,190650," Bachelors",13," Never-married",NA," Not-in-family"," Asian-Pac-Islander"," Male",0,0,35," United-States"," <=50K"
33," Local-gov",300681," HS-grad",9," Never-married"," Other-service"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
19," Local-gov",53220," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"
36," Private",141029," HS-grad",9," Separated"," Craft-repair"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
28,NA,169631," Assoc-acdm",12," Married-AF-spouse",NA," Wife"," White"," Female",0,0,3," United-States"," <=50K"
39," Private",172186," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",5013,0,40," United-States"," <=50K"
39," Self-emp-not-inc",29874," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,54," United-States"," <=50K"
25," Private",178478," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
51," Private",108435," 12th",8," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
48," Private",176810," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
56," Private",266091," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",2907,0,52," Cuba"," <=50K"
36," Private",122493," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
27," Private",278736," 5th-6th",3," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
22," State-gov",293364," Some-college",10," Never-married"," Protective-serv"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"
45," Private",362883," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",5013,0,40," United-States"," <=50K"
26," Private",173927," Assoc-voc",11," Never-married"," Prof-specialty"," Own-child"," Other"," Female",0,0,60," Jamaica"," <=50K"
24," Private",388885," HS-grad",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,48," United-States"," <=50K"
58," Private",200040," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
55,NA,449576," 5th-6th",3," Married-civ-spouse",NA," Husband"," White"," Male",0,0,48," Mexico"," <=50K"
31," Private",94413," HS-grad",9," Divorced"," Craft-repair"," Other-relative"," White"," Male",3325,0,40," United-States"," <=50K"
23," Private",269687," Assoc-voc",11," Never-married"," Tech-support"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
20," Private",293726," Some-college",10," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
39," Private",230356," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
25," Private",187540," Some-college",10," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
23," Private",109430," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
43," Private",172364," HS-grad",9," Separated"," Exec-managerial"," Not-in-family"," White"," Female",0,0,48," United-States"," <=50K"
25,NA,239120," Bachelors",13," Never-married",NA," Not-in-family"," White"," Male",0,0,13," United-States"," <=50K"
